Hospital,Billing Amount
Wilson PLC,400999.58757410676
Group Jones,399360.8679322135
Rodriguez Inc,397927.0376145945
LLC Davis,392923.32852816227
Group Martinez,391898.322636796
Group Garcia,391213.72991489834
Davis PLC,388253.86528608814
PLC Miller,387936.96948297776
Rodriguez Group,384997.77350950096
Inc Anderson,383145.4747799473
Stone Ltd,382699.44307876716
Inc Miller,382147.8805488027
Thomas LLC,381924.9625794261
PLC Thompson,381343.44463075354
Inc Garcia,379463.6620861438
Miller Group,378295.798393042
Clark PLC,377491.71588127123
Wilson LLC,377386.4226728428
Jones Sons and,374460.17916481674
Sons and Brown,372877.8576700688
Ltd Williams,372621.53741619765
Group Williams,370415.8711476688
Inc Moore,366622.4460831172
Inc Taylor,362343.3932342243
Moore Inc,362301.9136516576
PLC Jackson,361769.7089398946
PLC Thomas,359438.227002304
Group Rodriguez,358200.4700979971
Johnson Sons and,354191.2935607449
Inc Hernandez,353855.772470669
Rodriguez Ltd,350928.6839011501
Ltd Hernandez,350805.69618419383
Ltd Jackson,349808.845692947
Lopez Group,344642.67584905704
Martin Group,343342.9421711976
LLC Wilson,343097.8409473486
Ltd Davis,343067.4950676409
Taylor Ltd,342897.511193138
Martinez Inc,338781.98437702254
Martin PLC,337754.62765021226
Harris Group,336450.8851396285
Anderson PLC,332223.6650174602
Ltd Thompson,328165.313823707
LLC Moore,326146.15657695173
Thompson Ltd,326032.298986604
and Sons Williams,325374.70711171045
PLC Jones,325170.22413368564
Thompson PLC,323500.3143053443
Ltd Lewis,323197.71450814256
Garcia Inc,321162.6765890079
Ltd Martinez,320536.9959279273
Sons and Johnson,319830.1626873527
Ltd Wright,319735.4613999851
Jones PLC,318155.89562571683
King Ltd,316057.9819578962
Group Anderson,315951.08429922885
Ltd Martin,313693.2693456661
Inc Gonzalez,313465.690058795
Inc Harris,313370.1709153983
Shaw LLC,312905.5718997813
PLC Wilson,311655.60931834934
Ltd Clark,311366.4526624376
Turner Group,310753.969388832
PLC Green,310361.9853395762
LLC Rodriguez,309749.88444001356
Wilson Ltd,309470.03294162493
PLC Davis,308914.2525361336
Inc Martin,308718.9168260516
Inc Nelson,307673.0213045471
Hernandez PLC,305878.35851112765
Ward PLC,302465.16018737236
Group Hernandez,301812.77943700977
Thomas Inc,301555.7091135191
and Sons Smith,295411.77467869665
Ltd Lee,295302.3197981482
PLC Lewis,294395.4572125755
Hill Inc,294358.3909503692
Thomas and Sons,294009.2993391133
Inc Clark,293723.6707436979
Group Cook,293505.69833781663
PLC Moore,292314.42725058534
Lewis Ltd,289690.2364901394
Sons Williams and,288559.7740709066
Alvarez Ltd,288298.5511576293
Jackson Inc,288102.4332118146
Lee PLC,287729.2871282672
Smith Sons and,287142.70065146
Ltd Anderson,287087.86513307807
PLC Ross,285880.2237054665
Harris LLC,284778.54173084884
Carter Inc,284623.26645696315
Anderson Group,283889.459771176
Inc Davis,281790.1380364662
Anderson Inc,280710.71118981845
Sanchez Group,279776.98857662897
PLC Harris,279418.29736058874
LLC Martinez,277035.3838822534
Ltd Myers,276694.4987556697
Gilbert Ltd,275509.98130328313
LLC Harris,275387.7565728669
LLC Taylor,274067.72560952435
Inc Robinson,273813.4128817707
PLC Garcia,272529.3944812112
Ltd Taylor,272282.3197732706
White and Sons,272038.45462832996
Garcia LLC,272026.80191120016
Inc Scott,271457.20817028516
Walker PLC,271403.5745449778
Phillips LLC,269232.8883204124
Inc Lopez,269191.8474546762
Clark LLC,269053.0688773729
Moore PLC,267966.33503999613
Group Lewis,266652.82360724756
Allen Group,264039.7374811681
Ltd Campbell,263590.55371070077
Moore Ltd,262305.0551510969
Ltd Lopez,261607.02471900437
Cook Group,261033.97528108174
Rodriguez PLC,259177.96094363378
Anderson LLC,257913.76622599812
LLC Perez,256097.24577854478
Group Wilson,254647.37321501705
Hall LLC,252886.79162214586
Sons Miller and,248495.75532320156
Hall Group,247201.21558231176
Campbell LLC,247012.24486084067
Sons Johnson and,246422.6728147201
PLC Anderson,244995.38783472934
LLC Lopez,244568.14542915783
Martin LLC,241667.93489026
Inc Carter,241641.82472905327
Davis Ltd,241604.8284805031
Phillips Ltd,241289.6608727035
LLC Robinson,240355.1446897817
Group Lopez,240343.78023130994
Simmons LLC,240245.5931686661
Sons and Smith,240232.771085554
LLC Hernandez,240026.37872945282
LLC Flores,238848.88911651768
Group Clark,236966.1420569477
Ltd Scott,236823.39923958725
Ramirez PLC,236812.20969463093
PLC Wright,236570.67498421378
Garza Group,234641.06621108885
PLC Wells,234162.3431481886
Taylor PLC,233178.14482229186
Cruz Inc,232544.13302478468
Ltd Carter,232442.85806467145
Lee LLC,231962.7772302033
Perez Group,231692.82840206774
Gonzalez Ltd,231381.95101364717
Martinez Ltd,231347.5307461747
Ltd West,231280.00157091315
Graham Ltd,231163.72627249185
Long LLC,230442.10984515643
Harris PLC,230206.2087882434
Inc Perez,229950.59837788722
Ltd Nelson,229846.42308125173
Ltd Allen,229579.62208469026
Coleman Group,229075.7692240892
Sanchez Inc,228994.42802415096
LLC Lewis,227612.26997661032
Gonzalez Group,227418.80022320864
Patel LLC,227089.95899221956
Walker Ltd,226628.07442824292
Hansen PLC,226579.46708644327
Ltd Thomas,225830.9665914821
Robinson Inc,225225.06045079877
Ltd Reed,225171.835751675
Phillips Inc,224950.92581991677
Martinez PLC,224308.2681570091
PLC Taylor,224028.6339999333
Group Green,223952.47338823628
Ltd Porter,223367.67527496995
Allen Ltd,222594.21113205506
Cook Inc,221848.16469218367
Ltd Hall,221379.24291099934
LLC Bennett,220415.88709562132
Ltd Austin,220179.01243997476
Inc Wright,219492.05225844108
Adams Group,219432.9162908826
LLC Anderson,218720.5598970278
and Jones Sons,218466.38253374732
Ltd Alexander,217028.0142605399
Lee Sons and,216221.7879893283
Clark Ltd,216209.76655744077
PLC Cook,216155.76722736354
Murphy Inc,215348.04999862247
Ltd Murphy,215188.17139521043
Jackson PLC,214896.63511110112
LLC Lee,214500.6746009856
Inc Price,213762.03366800788
PLC Lopez,213699.05813712973
Group Young,213287.07897331475
Sons and Taylor,212865.29949300233
PLC Bell,212587.06686098693
Johnson-Williams,212275.65960388596
Lopez LLC,211914.75599486235
Murphy LLC,211886.22329106665
Group Walker,211225.39844366314
Inc Torres,210039.94443080612
White Ltd,209805.07648044708
Hill Group,209414.24813928964
LLC Martin,209101.76266214682
PLC Perez,208384.36030171823
Inc Roberts,208311.3788900513
Inc Adams,208105.7945326232
LLC King,208028.69832416222
Allen Inc,207938.66559158426
James Ltd,207631.34518166716
Inc Harper,207185.89470908942
Inc Morgan,206979.35965568817
Martinez Group,206952.1098773412
Valdez LLC,206922.30591450806
Jones-Rodriguez,206549.78090627748
PLC White,206443.15750851488
Inc Phillips,206053.09650039795
Inc Perkins,205465.93003822307
Thomas Ltd,205453.56168831192
Group Stewart,204263.95385376568
Group Harris,204236.81311170224
Walker Group,203905.2402349008
Mitchell Inc,203814.52379855147
Gonzalez Inc,203755.0601534003
PLC Gonzalez,203573.41678028766
Ramirez Inc,202892.08430594677
LLC Reyes,202421.37279449316
Young Group,202339.45173196652
Jackson Ltd,201461.8703027699
LLC Allen,201153.56032273028
Sons Thomas and,200888.40786201545
Lopez Inc,200488.12375854794
Bennett PLC,199590.37355716425
Inc White,199245.08928416888
Ltd Phillips,198845.3286429766
Inc Walker,197968.33938836906
Group Gonzalez,197706.0792532749
Inc Williamson,197658.98564849648
Martin Ltd,197594.37681856772
Inc Lee,197283.9809845568
Reynolds and Sons,196581.56155904284
Evans Group,196176.95534514988
Inc Thomas,195620.367189278
Group Simpson,195540.5276215388
Adams LLC,195377.434803267
Inc Evans,194800.50819115847
Parker LLC,194710.18338593532
Group Wright,194399.93902769548
and Sons Johnson,194383.7958428883
LLC Ward,194220.70135967695
Gibson LLC,194209.91094794337
PLC Allen,194092.88948742085
Wallace LLC,193880.8016535465
Gonzalez LLC,193874.6745485531
Group Thompson,193750.7019760026
White Group,193545.93889158338
Simmons Group,193391.86588908217
Ltd Harris,193336.43284697336
LLC Gonzalez,193128.63162735084
PLC Scott,192969.48501781432
PLC Roberts,192925.98190095616
Inc Ferguson,192857.30816189296
Hall PLC,192380.61451718275
LLC Stewart,191862.60048146162
Lee Group,191859.9725015898
Wright Group,191590.04080541676
Gonzales Group,191523.16012248155
White LLC,191490.83951269262
Lee Ltd,191157.61308684715
Murray Ltd,190909.91792279982
Miller-Anderson,190405.2306447592
Group Barnes,190348.35195203696
LLC Turner,190124.86733252893
LLC White,190087.84072895447
LLC Daniels,189733.59912555528
Griffin Group,189529.11672639902
Robinson Group,188688.52251650428
Sons Martin and,188324.11474692714
Franklin Group,188101.67537140843
Davis LLC,187929.6272694521
PLC Carter,187333.93401142518
Sons Jones and,186493.26166046868
Sons Smith and,185883.61220221792
Allen PLC,185853.44418246477
Inc Martinez,185642.41156916012
Nguyen PLC,185286.14830338856
PLC Nelson,185102.3875732578
Group Scott,184902.34971887135
Sons Hunt and,184724.66126922343
Robinson LLC,184700.40840034865
Smith-Wilson,184485.25294338944
LLC Freeman,184458.8019111191
Williams Sons and,183780.0146773067
Brown-Smith,183654.24717768005
LLC Bell,183542.79607108366
Wright Ltd,183391.75699423952
Johnson-Smith,183259.42919694624
Scott Inc,183197.3772872042
Wood Group,182631.04951320426
Flores LLC,182468.40057591954
LLC Andrews,182422.03844599653
LLC Jackson,182171.63032041953
and Johnson Sons,182141.67986389576
Pearson PLC,182099.67196821317
Bates Inc,181643.13132115026
LLC Baker,181528.04167321126
LLC Hill,181505.0332343299
White PLC,181482.1326197115
Ltd Turner,181204.656717224
Dawson Inc,181167.11892240256
Williams-Jones,181049.43007296638
LLC Howard,180940.96538313013
Thomas Group,180937.51207655395
Inc Butler,180913.24222411722
Group Martin,180858.45980429818
Mitchell Group,180606.00660325645
Inc Mckee,180225.37225155218
Inc Powell,179983.39367189322
Jackson Group,179887.93361178308
Gomez Inc,179661.1717517028
Bailey Inc,179641.4729367326
Cook Ltd,179634.8673077549
Nelson PLC,179399.899289602
Group Ward,179011.97636356272
Rivera PLC,179005.90306808404
Group Sullivan,178934.16680981783
Smith-Davis,178928.315016348
Gonzalez Sons and,178862.57627507707
Ltd Moore,178449.23952331388
King Inc,178065.17089483183
Inc King,177969.23084248483
Sons Cox and,177723.82743771616
Wilson Inc,177514.06343727495
Lewis Inc,177377.07480675977
Rodriguez Sons and,177342.26178087905
LLC Mitchell,177138.34777147995
Garcia Ltd,177133.20160934166
Foster Inc,176610.51935909863
Brooks Ltd,176529.2446297316
Sanders Inc,175893.27879819734
Ltd Ramirez,175747.27353633946
PLC Hernandez,175521.23734956124
Davidson PLC,175424.45719248278
Cole LLC,175078.03469506733
Harris Inc,174984.28315022108
Group Reed,174936.79778584314
Green Inc,174540.3935100324
Inc Wood,174343.1876583402
Austin LLC,173855.92413042413
LLC Thompson,173720.78555621626
Parker Group,173567.70299612186
Inc Hamilton,173554.0374901854
Ellis Ltd,173339.719821176
Walters PLC,173075.93093954612
Stewart Group,173054.51399235887
Clark Inc,172959.19656466105
Ltd Perez,172930.3317865487
PLC Harrison,172749.84746425098
Kelly Ltd,172466.4366551498
LLC Roberts,172459.32126492396
Dunn PLC,172188.82118140266
Group Jacobs,171635.90683662207
Ltd White,171601.43249411508
LLC Hodge,171433.14730974202
Ltd Gonzalez,171150.44394752695
Inc Wilson,170571.76610945942
Group Bennett,170219.18251557226
Smith-Smith,170218.7935258682
LLC Green,170092.4414258279
Evans Ltd,169969.0854174924
Shelton Inc,169327.81854617404
PLC Young,169200.14912083268
and Sons Thomas,169152.16697169008
Martinez LLC,168871.17655430362
Thompson Sons and,168853.2961115408
Ltd Hale,168829.66667543372
Marshall Group,167792.94828704878
Miller-Smith,167685.76413612196
Shaw Sons and,167685.53376536476
Wright PLC,167634.914893269
Inc Gonzales,167566.51818158082
PLC Morgan,167465.39315678168
PLC Flores,166846.02286703355
Walker and Sons,165862.21486078383
PLC Mason,165792.9169633239
Perry Group,165735.33508241386
Warren PLC,165235.349639247
Wallace Ltd,165173.20341960638
Ltd Peterson,164976.45918699022
Garcia Sons and,164835.10870572348
Inc Morales,164598.04838738233
Inc Cruz,164307.80494566675
Perez and Sons,164189.2453326916
Group Grant,164056.06314892418
PLC Morales,163858.780081609
LLC Alexander,163791.47013999795
Diaz Inc,163738.97394086287
Meyer Ltd,163332.23102932182
Stone Inc,163249.50005661196
Morales Group,163112.0018825712
and Sons Lee,162874.59175108236
Schultz Inc,162781.65988111094
Group Taylor,162485.800493521
Peterson Ltd,162435.08944131952
Diaz PLC,162345.55713433248
PLC Martin,162054.54662047586
Rodriguez and Sons,161967.6982825773
Edwards PLC,161924.96501422965
Ltd Stevens,161916.855500721
Inc James,161800.99161728137
Roberts Ltd,161738.60143952546
and Smith Sons,161725.20357814786
Griffin PLC,161630.531109181
Anderson and Sons,161590.04184895515
Gibson Ltd,161343.30494519832
PLC Reyes,161278.7367405694
Inc Freeman,160276.44391985715
Taylor Inc,160039.46241257858
Group Alexander,159408.7138318251
PLC Obrien,159352.7629135084
Ltd Gibson,159247.50329791626
Jones-Williams,158879.9699327867
LLC Edwards,158619.95607002245
PLC Parker,158516.97828475828
LLC Hardy,158481.9137451208
Smith-Williams,158481.0509236965
Hernandez Inc,158184.52562311533
and Sons Brown,158171.2667798601
PLC Adams,157986.379788614
LLC Evans,157746.16163024434
Ltd Cohen,157465.34552415868
Alvarado LLC,156719.43235099647
Inc Ross,156626.5166898137
Smith and Sons,156580.14026205998
PLC Gonzales,156494.24196822586
and Miller Sons,155775.8248430305
Johnson-Myers,155264.88685842772
LLC Palmer,154973.86466796373
Inc Campbell,154389.2594010424
and Robinson Sons,154382.3026565456
Baker Sons and,154270.7567250451
Bryant Sons and,154226.2996738652
Johnson-Johnson,153925.10388794343
Ltd Navarro,153744.50894628128
Snyder PLC,153737.34290433337
and Martinez Sons,153710.04046850975
Inc Burns,153645.71543248626
Group Mcdonald,153606.40060830725
Green LLC,153203.55584582785
LLC Hall,153035.77560121752
Group Moore,152759.710307231
and Jackson Sons,152619.8198906717
Morgan Ltd,152444.56977895487
Mitchell Ltd,152151.99238105185
Johnson-Gray,152142.49382327992
Sons Hawkins and,151976.9958286069
Ltd Gray,151804.58586148877
Ltd Wallace,151700.27243593824
PLC Gutierrez,151520.51123715247
Sanchez LLC,151210.62235000846
Ltd Estrada,151209.26847742684
Wright Inc,151153.68359772232
Brown-Williams,151143.5678042626
Cruz PLC,150903.98535141323
Nelson Group,150878.02896569553
Molina Group,150707.28498855847
Green-Brown,150630.422804698
PLC Myers,150210.29672194735
Rodriguez LLC,150096.63040351542
Rodriguez-Smith,149918.40645339753
Hoover LLC,149680.206425389
Ltd Patterson,149672.50034259376
Moore Group,149066.4733661234
Navarro LLC,148958.6772885011
Group Cruz,148067.66748233547
Ltd Patel,148017.07153281104
Thompson Group,147973.07638215736
Group Nelson,147801.167659029
Lara PLC,147644.77992796272
PLC Ramsey,147599.19175645732
PLC Jordan,147485.72204601168
Jackson-Williams,147406.41440980622
Lewis Group,147397.40415465977
Ltd Rivera,147358.93432973477
PLC Cruz,147046.42687218386
Hill PLC,147045.34885658673
Hall-Taylor,146908.03483885847
Little Ltd,146693.19919168504
Wiley LLC,146506.96154626558
Le PLC,146373.83278903668
Ltd Jimenez,146336.82393809356
PLC Harper,146106.1078252988
Group Wagner,146014.37923022633
Frederick Inc,145846.3968943674
Kim Inc,145679.9954188228
Group Patterson,145554.4500455929
Mills-Gray,145552.88659765618
and Pearson Sons,145486.49172077968
Chen PLC,145294.57609474246
Wright LLC,145131.06972042064
LLC Coleman,145017.9832705033
LLC Griffin,144978.45404270926
Lopez Ltd,144970.22420290194
Lee-Miller,144925.24824636715
Thompson LLC,144909.46422929046
Cole Ltd,144717.18468721214
Carter Group,144640.9434595112
LLC Matthews,144527.62431593574
Baker Ltd,144317.96451477194
Moreno LLC,144238.11562791828
Young Ltd,144184.4880404896
Patterson Group,144153.99439238402
Group Fisher,143989.048785947
Ortiz Group,143961.9564623213
Inc Vasquez,143926.98230270852
Ltd Rodriguez,143869.34980504573
Baker PLC,143813.38045956983
PLC Osborne,143651.80649029635
Johnson-Lopez,143451.87634615312
Sons and Miller,143444.93409885894
Group Peterson,143379.60962854433
Ltd Baker,143354.64929215374
Murray PLC,143214.09302036202
Inc Weber,143178.4058378294
Inc Lewis,143002.5263076392
Johnson-Taylor,142890.36847376864
LLC Brooks,142863.92845860837
King Group,142788.29874926165
Group Edwards,142763.55528154678
Lopez-Kim,142577.62940982258
Day LLC,142382.85276799047
Group Burns,142367.36106192376
LLC Henderson,142103.41789751808
PLC Ramos,142088.40831972318
Richardson Ltd,141609.8860639035
Riley Inc,141576.4129373534
PLC Bailey,141342.4237833933
LLC Reed,140953.93707522564
LLC Boyer,140924.50876008216
Sons Davis and,140916.7515900905
Peterson LLC,140795.6191253731
Sons Wilson and,140719.55256902386
Collins Inc,140600.91602418514
Inc Richards,140572.4396590485
Anderson Ltd,140469.5235834235
Scott PLC,140263.7609827422
Campbell Ltd,140230.4686175487
Aguilar Ltd,140179.42616350955
Shaw PLC,140070.81358363398
and Sons Carter,139977.21112702123
Inc Murphy,139758.87715589048
Morgan Inc,139444.11281272842
and Campbell Sons,139301.0918290063
PLC Russell,139262.30041187874
Matthews Group,139259.77342902657
Ltd Cruz,139230.3978005401
Wells Group,138904.65145474114
Gordon LLC,138860.48361143956
Inc Allen,138636.9645121172
Wood Inc,138506.39085705308
Harvey PLC,138471.50400870678
Group Allen,138322.62678219704
Flores Inc,138153.99633404665
and Sons Reid,138130.58275456316
Owens Group,137720.1625329291
Kim Group,137518.89697985482
Inc Reid,137363.64414037467
Hayes Inc,137323.48548040385
Klein Group,137174.01682227652
Davis and Sons,137168.73466421705
Group Montgomery,137096.005890782
Nichols PLC,137001.37584664588
Bryant Group,136992.3328144947
Jones-Anderson,136919.25320164597
Kelley PLC,136865.74922138627
PLC Fritz,136647.78430383062
Group Ortiz,136507.8043417847
Henry Inc,136453.04244960364
PLC Morris,136441.52869717017
Hernandez and Sons,136088.2647383376
Hernandez-Miller,136080.97977404523
Roberts Inc,136019.58388846274
Wagner LLC,135973.1153038112
Ramirez-Jackson,135628.96573711536
Inc Black,135578.97551422231
Group Webb,135531.71568764164
Ltd Barnes,135508.86151802112
Sons and Hernandez,135190.98251544707
Young Inc,135158.19921701346
Ltd Young,135139.89299626523
Newman Group,135003.9808623211
Porter PLC,134762.26044824946
Kline Ltd,134757.6965167417
LLC Adams,134751.98257047258
Group Lynch,134723.68081265333
Ward Inc,134635.27700671164
LLC Scott,134615.63302089265
Ltd Byrd,134598.9008771222
PLC Mccall,134428.10142598147
and Sons Long,134252.13807689375
Diaz Group,134234.37363777572
Jackson LLC,133992.16536185754
LLC Elliott,133931.6792796272
Inc Edwards,133788.6292432962
Group White,133645.99976043863
LLC Montoya,133433.59998398673
Knight PLC,133396.14702615832
and Harris Sons,133354.13724353802
Ltd Ray,133303.66482646824
Group Duncan,133211.49363999514
Morales Ltd,133055.056176715
Wood LLC,132965.99646042762
PLC Simmons,132780.21707503786
Rios Group,132693.3904469997
Murphy Group,132627.09938860458
Wilson and Sons,132622.69129253432
Hill-Johnson,132510.76761021954
Mitchell PLC,132420.06350001242
Inc Walsh,132290.31958904638
Peters Group,131696.49211632917
Hill-Wilson,131638.31438790433
Ellis Group,131578.17537091096
Ross Group,131482.6706687091
Group Maldonado,131480.6243062994
Chung PLC,131475.79675396587
Inc Jordan,131402.52044667845
Ltd Wilson,131155.23180044774
Johnson-Gonzalez,131089.17463151037
Collins Ltd,131079.64410616696
Inc Mcdonald,131078.81539012646
Group Mitchell,131057.45713020375
Ltd Olson,131054.35661383485
Foster Ltd,130960.15136647518
Bowman PLC,130859.61206597021
Roberts Sons and,130659.23937438344
Cook LLC,130638.17627916063
Reyes PLC,130620.49968620413
Sons and Stevenson,130449.25835189997
Group Morales,130430.08701794814
Sons Acosta and,130274.21781889678
Inc Spencer,130074.82202574392
Tran LLC,130051.65184480387
Bautista Sons and,129999.51355380361
Group Salazar,129923.22898199628
Rodriguez-Gonzalez,129671.24010671322
Williams-Hayes,129527.77265412714
Wells and Sons,129446.21464181102
Group Gray,129414.40793764005
Sons and Rose,129407.82041974572
and Gonzalez Sons,129405.93954896179
Parker Sons and,129332.26333164144
Group Stokes,129071.25295729685
Group Mason,129037.78537319656
Malone LLC,129008.01968363413
LLC Gutierrez,128971.6912957867
Zimmerman Group,128765.10865057528
Henderson LLC,128644.65983682296
PLC Garza,128205.93117667694
Ltd Vargas,127982.49144562188
LLC Stone,127672.66472302632
Giles Ltd,127661.42229780111
Vasquez LLC,127509.82145791792
Walker-Smith,127446.47300714975
PLC Bishop,127423.3568364387
Chapman Group,127210.46921872988
Johnson-Lewis,127197.41994248757
Carpenter PLC,126971.62814804874
Hudson Group,126813.03352368053
Harris Ltd,126733.83970076063
PLC Hill,126676.26006698361
Sons and Lopez,126673.82090976367
Johnson-Dixon,126615.51034173687
Sons Ortiz and,126570.43230300833
Mcdonald LLC,126545.97857025596
Sons Lee and,126529.55336068301
Ltd Delgado,126519.79433484584
Taylor Group,126290.8406510923
Clark Group,126211.65929942983
Ltd Cochran,126173.13806048443
Miller and Sons,126067.94561972399
Group Butler,126051.1400223119
and Gray Sons,126045.71742065347
Group Yates,126038.38958196114
Sons Brown and,126024.78841529932
Henry Ltd,125904.44641964552
LLC Miller,125881.9806558145
Morton Inc,125874.45674060739
Group Parsons,125759.79182705862
Martin-Bowman,125701.25645429369
PLC Peterson,125649.38994864782
Patel Ltd,125595.00363711407
Alvarez-Smith,125521.10290157882
Inc Peterson,125330.74738100344
PLC Fisher,125297.64476168965
Lane Group,125288.35195535127
Edwards LLC,125112.28225436772
Inc Rose,125047.24874654837
Stewart PLC,125046.46484626655
Butler LLC,124903.33531086176
Group Phillips,124805.22581750064
Group Armstrong,124645.03271659656
PLC Martinez,124589.24157943738
Inc Ramirez,124552.63646096096
Williams-Garcia,124547.3448672557
Ltd Robinson,124483.29234532223
Peterson Inc,124396.66233753154
Torres PLC,124382.8438507907
Elliott LLC,124375.53844206299
Ltd King,124266.80350512461
PLC Walker,124174.00364614339
Henson-Smith,124171.56993321111
Inc Meyer,124076.60275972504
Schmidt-Ford,123963.04837450793
Reed-Mann,123868.50116098739
Group Kelley,123700.25446087698
Carter Ltd,123655.79631005912
Ltd Long,123594.97083545147
Cox PLC,123429.38062622893
Russell PLC,123312.4578077627
PLC Richardson,123312.15503878586
LLC Cox,123213.40299889704
PLC Goodman,123130.17286708657
Inc Rivera,123096.64786664542
Inc Tyler,122872.30322297725
LLC Cruz,122865.67375853744
Mcclure Ltd,122848.18143176263
Rodriguez-Johnson,122739.01667358514
Meyer Group,122707.85673011157
Coleman Inc,122693.94482146052
Ltd Howell,122558.39827932844
Group Davidson,122540.87638428339
Inc Cox,122298.88096497959
Ltd Griffith,122248.34191720386
Group Cross,122104.71762350471
LLC Ingram,122028.83854723391
Pearson Sons and,121979.32285318364
PLC Perry,121965.58312192393
Ltd Kelley,121953.78646013673
Group Schneider,121887.26061560941
Ltd Schmitt,121855.198842541
Ltd Owens,121845.04237601307
LLC Oneill,121827.30158891989
Hansen Sons and,121778.57293743314
Group Owens,121738.82281688783
Sons and Fernandez,121637.49436430696
Murray LLC,121630.60857535133
LLC Woods,121457.78832624148
Lee Inc,121363.2625996302
Perry Inc,121318.84126384048
Arnold Inc,121278.82883638046
Ltd Mccoy,121243.19514157523
PLC Ortiz,121220.103908952
George LLC,121128.00441185334
Group Ortega,121088.05285708082
Ltd Hansen,121034.20219920609
Garza Inc,120991.81924565007
PLC King,120972.10792307899
Hughes and Sons,120945.66168504188
Bowman Ltd,120819.07418762146
Carroll Inc,120630.17213958788
Group Hunt,120507.35755694343
LLC Carter,120490.2576246834
Pena PLC,120466.5614199465
Ward LLC,120076.36247093254
Sons Wright and,120060.78874418986
Campbell Inc,120045.51180653929
Ltd Nguyen,120000.70412302378
LLC Sutton,119997.94488058693
Sons and Gonzalez,119967.34907851918
Reed-Nelson,119945.20523603525
Turner Inc,119878.08238034266
Group Nguyen,119662.10262212234
PLC Webb,119598.28096865091
Inc Swanson,119559.15148473352
Fletcher Ltd,119535.08124196247
Group Hayes,119503.44418043495
LLC Kelly,119429.46786415184
Inc Ellis,119400.87244983847
Cobb Inc,119379.17894227838
Sons and Jackson,119299.49849812414
Watson Ltd,119292.89758136282
Group Wood,119207.32543465373
Pham Ltd,119198.84576512007
Smith-Cox,119189.65906648642
Perry LLC,118967.95764547547
Acosta Group,118902.82348111253
Ltd Palmer,118780.05866245937
Snyder LLC,118674.01406022835
Weber LLC,118668.36305965277
PLC Rogers,118649.10682055706
and Sons Miller,118536.91202057642
Mathews Inc,118382.49719822878
Marsh Ltd,118363.42370931622
PLC Mitchell,118361.27647948962
Wallace PLC,118337.51713464245
Hancock and Sons,118317.87834550216
Lewis LLC,118215.33411842465
Lewis-Watson,118111.83374837023
Hernandez Group,118078.07156213623
Porter Ltd,118077.99810786595
Inc Casey,117925.59405920438
Sons Thompson and,117920.88173994326
Davis-Brown,117911.43840046212
Frye Ltd,117884.38150385996
Palmer Inc,117813.27035772793
Castillo Ltd,117778.46962355362
LLC Sanford,117737.78683364895
Bailey PLC,117633.74285510703
Skinner Ltd,117588.70251721313
Ellison and Sons,117501.34727109919
Miller-Martinez,117477.86387491324
Evans PLC,117403.05680200922
Payne Inc,117346.62114573408
Cohen LLC,117236.82552268458
Armstrong LLC,117004.39120016478
LLC Ryan,116977.5164936503
Gray-Lewis,116958.6084293864
Group Cole,116799.85495585606
Ltd Garcia,116794.11297136456
